!Series_title	"Differential yeast gene transcription during brewery propagation"
!Series_geo_accession	"GSE16376"
!Series_sample_id	"GSM410831 GSM410832 GSM410833 GSM410834 GSM410835 GSM410836 GSM410837 GSM410838 GSM410839 GSM410840 GSM410841 GSM410842"
!Series_platform_id	"GPL2529"
!Series_platform_taxid	"4896"
!Series_platform_taxid	"4932"
!Series_sample_taxid	"27292"
!Sample_title	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_geo_accession	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
!Sample_type	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"	"RNA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_description	"Prop_0h_A"	"Prop_0h_B"	"Prop_0h_C"	"Prop_4h_A"	"Prop_4h_B"	"Prop_4h_C"	"Prop_8h_A"	"Prop_8h_B"	"Prop_8h_C"	"Prop_30h_A"	"Prop_30h_B"	"Prop_30h_C"
!Sample_platform_id	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"	"GPL2529"
!Sample_data_row_count	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"	"10928"
!series_matrix_table_begin
"ID_REF"	"GSM410831"	"GSM410832"	"GSM410833"	"GSM410834"	"GSM410835"	"GSM410836"	"GSM410837"	"GSM410838"	"GSM410839"	"GSM410840"	"GSM410841"	"GSM410842"
"1769308_at"	253.819	73.3921	231.053	116.661	122.944	157.448	84.2204	95.7123	45.5464	86.6882	131.904	84.6617
"1769309_at"	1.20914	2.5191	19.218	3.66642	3.65027	2.97973	1.73038	3.53479	0.939356	6.08131	7.32951	10.6841
"1769310_at"	1.27395	5.03506	12.428	6.66697	1.22126	0.196635	10.4703	1.63077	8.375	5.95424	3.0608	4.51748
"1769311_at"	259.999	625.468	1277.4	190.081	156.501	169.005	217.872	308.4	110.048	163.324	249.107	227.961
"1769312_at"	68.8023	36.9299	92.1546	40.0147	43.9512	66.4916	22.0451	20.8389	11.7275	10.85	22.4212	28.7095
"1769313_at"	559.909	67.2704	168.433	107.603	119.015	129.849	43.2945	66.8999	43.9348	57.6904	79.9289	82.7229
"1769314_at"	191.031	222.972	574.309	107.573	93.604	112.332	34.3849	39.3147	48.3413	81.3971	77.2594	65.4526
"1769315_at"	6.48875	1.08884	1.55388	0.926112	0.259333	1.07946	2.92934	5.49991	3.82162	1.3591	2.29001	6.34859
"1769316_s_at"	1.54323	3.9218	9.38546	0.446756	3.78205	0.333952	2.57374	4.01359	0.556625	0.222717	1.37728	6.82198
"1769317_at"	143.94	192.26	332.311	14.7777	20.7603	15.7145	22.8599	42.1556	15.387	26.3551	39.8201	22.2197
"1769318_at"	1.69933	5.3895	14.6043	2.71644	1.53023	2.228	1.96555	1.34122	6.75813	0.587072	0.794554	0.583705
"1769319_at"	214.647	395.589	840.238	447.714	411.512	421.645	335.076	228.01	191.642	473.629	344.585	378.188
"1769320_at"	44.8131	65.9495	171.977	22.7427	27.1216	26.3906	37.5646	54.9056	41.011	40.7319	52.9217	60.6637
"1769321_at"	4.25219	10.4482	17.9936	3.30618	3.0012	2.77444	10.0846	5.4915	6.73045	5.80191	5.68083	8.51198
"1769322_s_at"	319.544	215.12	107.91	97.6428	205.635	217.608	862.111	607.354	322.505	326.59	489.648	320.257
