Gene	Feature	Mean_FC_12_6	SD_12_6	Mean_FC_20_6	SD_20_6	anova_f_value	p_value_12_6	q_value_12_6	p_value_20_6	q_value_20_6
Q0045	COX1	1.23	0.11	3.38	0.44	0.0000	0.0090	0.0028	0.0000	0.0001
Q0085	ATP6	1.27	0.30	3.54	0.85	0.0004	0.1011	0.0218	0.0003	0.0002
Q0120	BI4	1.35	0.27	4.88	0.99	0.0002	0.0321	0.0081	0.0001	0.0001
Q0140	VAR1	1.28	0.10	2.22	0.17	0.0000	0.0019	0.0008	0.0000	0.0000
Q0250	COX2	1.72	0.34	3.37	0.63	0.0000	0.0060	0.0020	0.0002	0.0001
Q0275	COX3	1.42	0.26	2.24	0.40	0.0005	0.0119	0.0035	0.0005	0.0003
R0020C	REP1	0.77	0.05	1.11	0.15	0.0001	0.0008	0.0004	0.1843	0.0370
R0030W	RAF1	0.85	0.22	2.59	2.23	0.0079	0.2198	0.0431	0.0869	0.0191
R0040C	REP2	0.62	0.07	0.74	0.05	0.0006	0.0008	0.0004	0.0005	0.0003
YAL001C	TFC3	1.00	0.10	1.33	0.18	0.0071	0.9868	0.1591	0.0082	0.0026
YAL003W	EFB1	0.81	0.03	0.70	0.04	0.0004	0.0003	0.0002	0.0002	0.0002
YAL005C	SSA1	1.39	0.07	1.25	0.09	0.0002	0.0001	0.0001	0.0031	0.0012
YAL007C	ERP2	1.18	0.07	1.14	0.14	0.0022	0.0041	0.0015	0.0789	0.0176
YAL010C	MDM10	1.29	0.29	1.71	0.32	0.0001	0.0750	0.0168	0.0035	0.0013
YAL011W	SWC3	5.57	2.30	3.46	0.70	0.0001	0.0009	0.0005	0.0001	0.0001
YAL012W	CYS3	0.96	0.06	0.80	0.05	0.0010	0.1557	0.0318	0.0011	0.0005
YAL013W	DEP1	0.84	0.14	1.06	0.27	0.0914	0.0655	0.0149	0.8300	0.1376
YAL016W	TPD3	1.25	0.11	1.42	0.10	0.0006	0.0048	0.0017	0.0004	0.0002
YAL017W	PSK1	1.75	0.26	2.18	0.14	0.0000	0.0012	0.0005	0.0000	0.0000
YAL019W	FUN30	0.67	0.05	0.54	0.07	0.0002	0.0002	0.0001	0.0004	0.0003
YAL021C	CCR4	1.03	0.06	1.34	0.14	0.0052	0.4290	0.0776	0.0031	0.0012
YAL023C	PMT2	0.95	0.08	0.80	0.07	0.0055	0.2210	0.0433	0.0043	0.0015
YAL024C	LTE1	1.09	0.17	0.69	0.17	0.0309	0.2748	0.0525	0.0248	0.0065
YAL025C	MAK16	0.34	0.05	0.33	0.08	0.0001	0.0000	0.0001	0.0005	0.0003
YAL026C	DRS2	0.73	0.05	0.69	0.07	0.0009	0.0006	0.0003	0.0013	0.0006
YAL029C	MYO4	0.86	0.22	0.93	0.11	0.2649	0.2010	0.0398	0.2079	0.0411
YAL030W	SNC1	0.82	0.09	1.09	0.14	0.0087	0.0146	0.0042	0.2138	0.0421
YAL035W	FUN12	0.78	0.06	0.65	0.05	0.0001	0.0016	0.0007	0.0002	0.0002
YAL036C	RBG1	0.47	0.04	0.38	0.02	0.0000	0.0000	0.0000	0.0000	0.0000
YAL038W	CDC19	1.09	0.07	0.92	0.07	0.0110	0.0400	0.0098	0.0693	0.0157
YAL039C	CYC3	2.34	0.26	3.95	0.45	0.0000	0.0001	0.0001	0.0000	0.0000
