rownames(lipid_droplets)	Feature	Genes	SGD	GFP	YPL	This_study	D	O	Localization_SGD	Description
1	ACH1	YBL015W	NA	NA	NA	Yes	NA	2	C/M	CoA transferase activity
2	ADH1	YOL086C	NA	NA	NA	Yes	NA	2	C/PM	Alcohol dehydrogenase
3	ALG9	YNL219C	NA	NA	NA	Yes	2	NA	ER	Mannosyltransferase
4	ATF1	YOR377W	Yes	NA	NA	NA	NA	NA	LP/End	Alcohol acyltransferase
5	ATP2	YJR121W	NA	NA	NA	Yes	NA	9	M	Subunit of mitochondria ATP synthase
6	AYR1	YIL124W	Yes	NA	Yes	Yes	15	12	C/ER/LP/M	NADPH-dependent 1-acyl dihydroxyacetone phosphate reductase
7	BSC2	YDR275W	Yes	Yes	NA	NA	NA	NA	LP	Unknown
8	COY1	YKL179C	NA	Yes	NA	NA	NA	NA	G	Golgi membrane protein
9	CPR5	YDR304C	NA	NA	NA	Yes	7	3	C/ER	Peptidyl-prolyl cis-trans isomerase
10	CSR1	YLR380W	Yes	NA	NA	NA	NA	NA	LP/C/M/Mic	Phosphatidylinositol transfer protein
11	CST26	YBR042C	Yes	Yes	Yes	NA	NA	NA	LP	Required for incorporation of stearic acid into phosphatidylinositol
12	CWH43	YCR017C	NA	NA	NA	Yes	2	NA	PM	Putative sensor/transporter protein
13	DFM1	YDR411C	NA	NA	NA	Yes	2	NA	ER	ER localized derlin-like family member
14	DGA1	YOR245C	Yes	NA	NA	Yes	NA	3	LP	Diacylglycerol acyltransferase
15	DPL1	YDR294C	NA	NA	NA	Yes	2	NA	ER	Dihydrosphingosine phosphate lyase
16	DPM1	YPR183W	NA	NA	NA	Yes	2	NA	ER/M	Dolichol phosphate mannose synthase
17	EHT1	YBR177C	Yes	NA	Yes	Yes	19	18	LP/M	Acyl-coenzymeA:ethanol O-acyltransferase
18	ENO2	YHR174W	NA	NA	NA	Yes	NA	2	V/PM/M	Enolase II
19	ERG1	YGR175C	Yes	NA	Yes	Yes	5	15	ER/LP	Squalene epoxidase
20	ERG6	YML008C	Yes	Yes	Yes	Yes	37	30	ER/LP/M	Delta(24)-sterol C-methyltransferase
21	ERG7	YHR072W	Yes	Yes	Yes	Yes	7	2	ER/LP/PM	Lanosterol synthase
22	ERG27	YLR100W	Yes	Yes	Yes	Yes	9	4	ER/M	3-Keto sterol reductase
23	FAA1	YOR317W	Yes	NA	NA	Yes	20	15	LP/PM/M	Long chain fatty acyl-CoA synthetase
24	FAA3	YIL009W	NA	NA	NA	Yes	3	NA	unknown	Long chain fatty acyl-CoA synthetase
25	FAA4	YMR246W	Yes	Yes	Yes	Yes	13	6	LP/C	Long chain fatty acyl-CoA synthetase
26	FAS1	YKL182W	Yes	NA	NA	NA	NA	NA	LP/C/M	Fatty acid synthetase
27	FAT1	YBR041W	Yes	Yes	Yes	Yes	13	9	PM/LP/Mic/PX	Fatty acid transporter
28	FMP52	YER004W	NA	NA	NA	Yes	NA	4	ER/M	Unknown
29	GPT2	YKR067W	NA	NA	NA	Yes	12	NA	C/ER	sn-1 Acyltransferase
30	GTT1	YIR038C	NA	NA	NA	Yes	2	8	ER/M/PM	Glutathione S-transferase
31	GVP36	YIL041W	NA	NA	NA	Yes	NA	3	C/G	BAR domain-containing protein
32	HFD1	YMR110C	Yes	Yes	NA	Yes	7	18	M/LP/End	Putative fatty aldehyde dehydrogenase
33	HSP12	YFL014W	NA	NA	NA	Yes	NA	6	C/PM/N	Heat shock protein
34	KAR2	YJL034W	NA	NA	NA	Yes	9	NA	ER	ATPase
35	LAP4	YKL103C	NA	NA	NA	Yes	NA	3	V	Vacuolar aminopeptidase
36	LDB16	YCL005W	Yes	Yes	NA	NA	NA	NA	LP/M	Unknown
37	MSC1	YML128C	NA	NA	NA	Yes	2	NA	M/ER/PM	Unknown
38	NUS1	YDL193W	Yes	NA	Yes	Yes	9	4	ER/LP/nEnv	Putative prenyltransferase
39	OSH4	YPL145C	NA	NA	NA	Yes	3	5	C/G/ext	Oxysterol binding protein
40	OSW5	YMR148W	NA	Yes	NA	Yes	2	NA	mem	Unknown
41	PDI1	YCL043C	NA	NA	NA	Yes	6	7	ER	Disulfide isomerase
42	PDR16	YNL231C	Yes	Yes	NA	Yes	5	9	LP/Mic/PM/C	Phosphatidylinositol transfer protein
