Condition	experiment_abbreviated	DEG_type	total	GSE_dataset
Autophagy-coding genes	F30_P0	Overexpressed DEG	3	GSE9423
Lipid metabolism-coding genes	F30_P0	Overexpressed DEG	16	GSE9423
Proteostasis-coding genes	F30_P0	Overexpressed DEG	9	GSE9423
Autophagy-coding genes	F30_P30	Overexpressed DEG	15	GSE9423
Autophagy-coding genes	F30_P30	Underexpressed DEG	10	GSE9423
Lipid metabolism-coding genes	F30_P30	Overexpressed DEG	82	GSE9423
Lipid metabolism-coding genes	F30_P30	Underexpressed DEG	16	GSE9423
Proteostasis-coding genes	F30_P30	Overexpressed DEG	67	GSE9423
Proteostasis-coding genes	F30_P30	Underexpressed DEG	13	GSE9423
Autophagy-coding genes	F30_P8	Overexpressed DEG	18	GSE9423
Autophagy-coding genes	F30_P8	Underexpressed DEG	10	GSE9423
Lipid metabolism-coding genes	F30_P8	Overexpressed DEG	84	GSE9423
Lipid metabolism-coding genes	F30_P8	Underexpressed DEG	15	GSE9423
Proteostasis-coding genes	F30_P8	Overexpressed DEG	65	GSE9423
Proteostasis-coding genes	F30_P8	Underexpressed DEG	10	GSE9423
Autophagy-coding genes	F60_P0	Overexpressed DEG	4	GSE9423
Lipid metabolism-coding genes	F60_P0	Overexpressed DEG	21	GSE9423
Lipid metabolism-coding genes	F60_P0	Underexpressed DEG	1	GSE9423
Proteostasis-coding genes	F60_P0	Overexpressed DEG	9	GSE9423
Proteostasis-coding genes	F60_P0	Underexpressed DEG	1	GSE9423
Autophagy-coding genes	F60_P30	Overexpressed DEG	18	GSE9423
Autophagy-coding genes	F60_P30	Underexpressed DEG	11	GSE9423
Lipid metabolism-coding genes	F60_P30	Overexpressed DEG	81	GSE9423
Lipid metabolism-coding genes	F60_P30	Underexpressed DEG	21	GSE9423
Proteostasis-coding genes	F60_P30	Overexpressed DEG	70	GSE9423
Proteostasis-coding genes	F60_P30	Underexpressed DEG	13	GSE9423
Autophagy-coding genes	F60_P8	Overexpressed DEG	16	GSE9423
Autophagy-coding genes	F60_P8	Underexpressed DEG	10	GSE9423
Lipid metabolism-coding genes	F60_P8	Overexpressed DEG	84	GSE9423
Lipid metabolism-coding genes	F60_P8	Underexpressed DEG	22	GSE9423
Proteostasis-coding genes	F60_P8	Overexpressed DEG	75	GSE9423
Proteostasis-coding genes	F60_P8	Underexpressed DEG	10	GSE9423
Lipid metabolism-coding genes	F8_P0	Overexpressed DEG	10	GSE9423
Lipid metabolism-coding genes	F8_P0	Underexpressed DEG	1	GSE9423
Proteostasis-coding genes	F8_P0	Overexpressed DEG	8	GSE9423
Proteostasis-coding genes	F8_P0	Underexpressed DEG	1	GSE9423
Autophagy-coding genes	F8_P30	Overexpressed DEG	14	GSE9423
Autophagy-coding genes	F8_P30	Underexpressed DEG	13	GSE9423
Lipid metabolism-coding genes	F8_P30	Overexpressed DEG	74	GSE9423
Lipid metabolism-coding genes	F8_P30	Underexpressed DEG	18	GSE9423
Proteostasis-coding genes	F8_P30	Overexpressed DEG	69	GSE9423
Proteostasis-coding genes	F8_P30	Underexpressed DEG	11	GSE9423
Autophagy-coding genes	F8_P8	Overexpressed DEG	17	GSE9423
Autophagy-coding genes	F8_P8	Underexpressed DEG	14	GSE9423
Lipid metabolism-coding genes	F8_P8	Overexpressed DEG	72	GSE9423
Lipid metabolism-coding genes	F8_P8	Underexpressed DEG	17	GSE9423
Proteostasis-coding genes	F8_P8	Overexpressed DEG	72	GSE9423
Proteostasis-coding genes	F8_P8	Underexpressed DEG	10	GSE9423
Autophagy-coding genes	F102_P0	Overexpressed DEG	6	GSE10205_GSE16376
Lipid metabolism-coding genes	F102_P0	Overexpressed DEG	18	GSE10205_GSE16376
Lipid metabolism-coding genes	F102_P0	Underexpressed DEG	2	GSE10205_GSE16376
Proteostasis-coding genes	F102_P0	Overexpressed DEG	8	GSE10205_GSE16376
Proteostasis-coding genes	F102_P0	Underexpressed DEG	1	GSE10205_GSE16376
Autophagy-coding genes	F102_P30	Overexpressed DEG	20	GSE10205_GSE16376
Autophagy-coding genes	F102_P30	Underexpressed DEG	15	GSE10205_GSE16376
Lipid metabolism-coding genes	F102_P30	Overexpressed DEG	85	GSE10205_GSE16376
Lipid metabolism-coding genes	F102_P30	Underexpressed DEG	22	GSE10205_GSE16376
