Condition	DEG_type	GSE_dataset	experiment_definition_abbrev	Average_DEG_frequency	Number_of_contrasts	SD	SE
Autophagy-coding genes	Overexpressed DEG	GSE9423	EPC	4	2	1	0
Autophagy-coding genes	Overexpressed DEG	GSE9423	APC	16	6	2	1
Autophagy-coding genes	Overexpressed DEG	GSE10205_GSE16376	EPC	3	9	2	1
Autophagy-coding genes	Overexpressed DEG	GSE10205_GSE16376	APC	20	10	2	1
Autophagy-coding genes	Underexpressed DEG	GSE9423	APC	11	6	2	1
Autophagy-coding genes	Underexpressed DEG	GSE10205_GSE16376	APC	12	10	2	1
Lipid metabolism-coding genes	Overexpressed DEG	GSE9423	EPC	16	3	6	3
Lipid metabolism-coding genes	Overexpressed DEG	GSE9423	APC	78	6	5	2
Lipid metabolism-coding genes	Overexpressed DEG	GSE10205_GSE16376	EPC	13	9	8	3
Lipid metabolism-coding genes	Overexpressed DEG	GSE10205_GSE16376	APC	85	10	6	2
Lipid metabolism-coding genes	Underexpressed DEG	GSE9423	EPC	1	2	0	0
Lipid metabolism-coding genes	Underexpressed DEG	GSE9423	APC	18	6	2	1
Lipid metabolism-coding genes	Underexpressed DEG	GSE10205_GSE16376	EPC	3	8	2	1
Lipid metabolism-coding genes	Underexpressed DEG	GSE10205_GSE16376	APC	20	10	2	1
Proteostasis-coding genes	Overexpressed DEG	GSE9423	EPC	5	3	1	1
Proteostasis-coding genes	Overexpressed DEG	GSE9423	APC	52	6	3	1
Proteostasis-coding genes	Overexpressed DEG	GSE10205_GSE16376	EPC	5	9	3	1
Proteostasis-coding genes	Overexpressed DEG	GSE10205_GSE16376	APC	52	10	3	1
Proteostasis-coding genes	Underexpressed DEG	GSE9423	EPC	1	2	0	0
Proteostasis-coding genes	Underexpressed DEG	GSE9423	APC	12	6	1	0
Proteostasis-coding genes	Underexpressed DEG	GSE10205_GSE16376	EPC	2	7	2	1
Proteostasis-coding genes	Underexpressed DEG	GSE10205_GSE16376	APC	12	10	2	1
