V1	Nodes	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
1	AAC1	2157.26130403053	43	Hub-Bottleneck	HB	3
2	AAC3	115.78578165426	5	Non-Hub-Non-Bottleneck	NHNB	4
3	AAR2	28.1965011412627	13	Non-Hub-Non-Bottleneck	NHNB	8
4	AAT2	2310.50114966524	34	Hub-Bottleneck	HB	9
5	ABF2	429.50391006579	9	Non-Hub-Non-Bottleneck	NHNB	9
6	ACB1	212.182081567966	6	Non-Hub-Non-Bottleneck	NHNB	1
7	ACC1	2992.08104807778	25	Non-Hub-Bottleneck	NHB	9
8	ACF2	36.1515816295396	4	Non-Hub-Non-Bottleneck	NHNB	31
9	ACH1	380.966057710746	19	Non-Hub-Non-Bottleneck	NHNB	9
10	ACK1	881.281311917589	20	Non-Hub-Non-Bottleneck	NHNB	4
11	ACL4	4.4220410634859	3	Non-Hub-Non-Bottleneck	NHNB	4
12	ACO1	5683.2617009352	56	Hub-Bottleneck	HB	3
13	ACO2	1829.20328721048	17	Non-Hub-Bottleneck	NHB	2
14	ACP1	5331.76388024755	38	Hub-Bottleneck	HB	4
15	ACS1	977.531037936958	28	Hub-Non-Bottleneck	HNB	9
16	ACS2	1794.9387779487	31	Hub-Bottleneck	HB	9
17	ACT1	7966.3241145933	58	Hub-Bottleneck	HB	4
18	ADE1	136.63878419772	5	Non-Hub-Non-Bottleneck	NHNB	2
19	ADE13	1309.3240969331	18	Non-Hub-Non-Bottleneck	NHNB	9
20	ADE17	574.312679262472	13	Non-Hub-Non-Bottleneck	NHNB	2
21	ADE3	657.019057531036	12	Non-Hub-Non-Bottleneck	NHNB	2
22	ADE4	621.774146891419	11	Non-Hub-Non-Bottleneck	NHNB	2
23	ADE5,7	275.121101467688	7	Non-Hub-Non-Bottleneck	NHNB	2
24	ADE6	604.605546559192	9	Non-Hub-Non-Bottleneck	NHNB	2
25	ADH1	2198.12130405003	25	Non-Hub-Bottleneck	NHB	9
26	ADH3	1050.8177083554	17	Non-Hub-Non-Bottleneck	NHNB	9
27	ADH5	229.096813178034	12	Non-Hub-Non-Bottleneck	NHNB	9
28	ADH7	741.891445234397	14	Non-Hub-Non-Bottleneck	NHNB	9
29	AFG3	3482.64361681349	22	Non-Hub-Bottleneck	NHB	4
30	AFT1	1420.0501004961	18	Non-Hub-Non-Bottleneck	NHNB	4
31	AFT2	38.7751439695557	4	Non-Hub-Non-Bottleneck	NHNB	2
32	AGX1	6342.86139433316	40	Hub-Bottleneck	HB	2
33	AHA1	335.495921208745	11	Non-Hub-Non-Bottleneck	NHNB	4
34	AHP1	192.711379228201	10	Non-Hub-Non-Bottleneck	NHNB	24
35	AIM17	298.229467418123	6	Non-Hub-Non-Bottleneck	NHNB	9
36	AIM22	350.551006132384	12	Non-Hub-Non-Bottleneck	NHNB	9
37	AIM3	117.184278264839	4	Non-Hub-Non-Bottleneck	NHNB	12
38	AIM45	618.812039079477	8	Non-Hub-Non-Bottleneck	NHNB	4
39	AKR2	55.8576034204955	3	Non-Hub-Non-Bottleneck	NHNB	12
40	ALA1	1068.79970069722	18	Non-Hub-Non-Bottleneck	NHNB	2
41	ALD3	851.931287916029	21	Non-Hub-Non-Bottleneck	NHNB	9
42	ALD4	3730.58954372564	37	Hub-Bottleneck	HB	9
43	ALD5	1275.74860886969	28	Hub-Non-Bottleneck	HNB	9
44	ALD6	5583.80417861874	40	Hub-Bottleneck	HB	9
45	ALE1	1860.21231591626	30	Hub-Bottleneck	HB	1
46	ALG12	386.284112127233	11	Non-Hub-Non-Bottleneck	NHNB	6
47	ALG3	3132.45671127035	27	Hub-Bottleneck	HB	6
48	ALG5	718.158432841872	14	Non-Hub-Non-Bottleneck	NHNB	6
49	ALG6	133.237781363259	10	Non-Hub-Non-Bottleneck	NHNB	6
50	ALT1	1197.60912847793	22	Non-Hub-Non-Bottleneck	NHNB	9
51	ALT2	1062.05086484231	21	Non-Hub-Non-Bottleneck	NHNB	9
52	AMD2	140.648244587612	7	Non-Hub-Non-Bottleneck	NHNB	9
53	AMN1	305.283851504486	16	Non-Hub-Non-Bottleneck	NHNB	4
54	AMS1	152.017625640145	7	Non-Hub-Non-Bottleneck	NHNB	8
55	ANB1	1213.04054303026	37	Hub-Non-Bottleneck	HNB	11
56	ANP1	3581.24569559425	30	Hub-Bottleneck	HB	29
57	APA1	582.226132047565	11	Non-Hub-Non-Bottleneck	NHNB	2
58	APC2	155.730477595459	15	Non-Hub-Non-Bottleneck	NHNB	4
59	APE1	16.9213184259248	7	Non-Hub-Non-Bottleneck	NHNB	12
60	APL2	2484.55039956601	34	Hub-Bottleneck	HB	6
61	APL3	812.775820314979	24	Non-Hub-Non-Bottleneck	NHNB	6
62	APM1	2036.48030844816	37	Hub-Bottleneck	HB	6
63	APM3	152.552619016552	11	Non-Hub-Non-Bottleneck	NHNB	6
64	AQY2	215.093085163789	5	Non-Hub-Non-Bottleneck	NHNB	26
65	ARA2	82.0870233701589	5	Non-Hub-Non-Bottleneck	NHNB	4
66	ARB1	2122.21488832992	36	Hub-Bottleneck	HB	11
67	ARE1	1588.44756250406	31	Hub-Non-Bottleneck	HNB	6
68	ARE2	684.748564337393	26	Non-Hub-Non-Bottleneck	NHNB	6
69	ARF1	2688.31413979297	32	Hub-Bottleneck	HB	6
70	ARF2	4295.15026155347	49	Hub-Bottleneck	HB	6
71	ARF3	287.261854894999	11	Non-Hub-Non-Bottleneck	NHNB	6
72	ARG3	173.587516838045	5	Non-Hub-Non-Bottleneck	NHNB	9
73	ARG5,6	253.565607768357	12	Non-Hub-Non-Bottleneck	NHNB	7
74	ARG7	296.098215358935	9	Non-Hub-Non-Bottleneck	NHNB	9
75	ARL1	1440.62680144895	15	Non-Hub-Non-Bottleneck	NHNB	6
76	ARL3	107.611485793322	5	Non-Hub-Non-Bottleneck	NHNB	5
77	ARO1	1286.09505740191	19	Non-Hub-Non-Bottleneck	NHNB	4
78	ARP2	1259.82892390779	21	Non-Hub-Non-Bottleneck	NHNB	4
79	ARP9	588.45093066921	19	Non-Hub-Non-Bottleneck	NHNB	4
80	ART5	82.7949719141062	3	Non-Hub-Non-Bottleneck	NHNB	1
81	ARV1	410.521751231646	10	Non-Hub-Non-Bottleneck	NHNB	4
82	ARX1	682.013639940007	52	Hub-Non-Bottleneck	HNB	11
83	ASC1	7699.40508911739	116	Hub-Bottleneck	HB	11
84	ASF1	2521.31411334138	44	Hub-Bottleneck	HB	14
85	ASH1	1435.80792221838	25	Non-Hub-Non-Bottleneck	NHNB	14
86	ATG1	12658.7457842529	60	Hub-Bottleneck	HB	12
87	ATG10	84.2018981446156	17	Non-Hub-Non-Bottleneck	NHNB	12
88	ATG11	4078.24680236265	30	Hub-Bottleneck	HB	12
89	ATG13	1693.71364254232	24	Non-Hub-Bottleneck	NHB	12
90	ATG14	468.302688804397	17	Non-Hub-Non-Bottleneck	NHNB	12
91	ATG15	2280.08107255664	32	Hub-Bottleneck	HB	12
92	ATG17	496.571994830118	15	Non-Hub-Non-Bottleneck	NHNB	12
93	ATG18	3319.04512668744	35	Hub-Bottleneck	HB	12
94	ATG19	961.310314148139	22	Non-Hub-Non-Bottleneck	NHNB	12
95	ATG2	364.649042601833	9	Non-Hub-Non-Bottleneck	NHNB	12
96	ATG20	258.752412445712	11	Non-Hub-Non-Bottleneck	NHNB	12
97	ATG21	103.274486877216	15	Non-Hub-Non-Bottleneck	NHNB	12
98	ATG26	186.19039300949	9	Non-Hub-Non-Bottleneck	NHNB	4
99	ATG27	109.684006797607	8	Non-Hub-Non-Bottleneck	NHNB	12
100	ATG29	228.472601393996	16	Non-Hub-Non-Bottleneck	NHNB	12
101	ATG3	2018.52208467732	31	Hub-Bottleneck	HB	12
102	ATG31	176.682465053009	9	Non-Hub-Non-Bottleneck	NHNB	12
103	ATG32	772.702564154357	14	Non-Hub-Non-Bottleneck	NHNB	12
104	ATG33	340.494477199893	11	Non-Hub-Non-Bottleneck	NHNB	4
105	ATG34	143.394935722244	9	Non-Hub-Non-Bottleneck	NHNB	12
106	ATG36	430.314257766332	8	Non-Hub-Non-Bottleneck	NHNB	2
107	ATG38	0	8	Non-Hub-Non-Bottleneck	NHNB	12
108	ATG39	2.01961531674583	2	Non-Hub-Non-Bottleneck	NHNB	12
109	ATG4	275.07334455886	16	Non-Hub-Non-Bottleneck	NHNB	12
110	ATG41	3.17785194326744	2	Non-Hub-Non-Bottleneck	NHNB	12
111	ATG5	722.469665072473	18	Non-Hub-Non-Bottleneck	NHNB	12
112	ATG7	4485.95815241055	41	Hub-Bottleneck	HB	12
113	ATG8	7104.8156021227	46	Hub-Bottleneck	HB	12
114	ATG9	2702.2995017977	34	Hub-Bottleneck	HB	12
115	ATM1	46.4805313841699	2	Non-Hub-Non-Bottleneck	NHNB	2
116	ATP1	6720.69800322186	60	Hub-Bottleneck	HB	3
117	ATP10	73.6552523042751	5	Non-Hub-Non-Bottleneck	NHNB	3
118	ATP2	5264.26601369778	60	Hub-Bottleneck	HB	3
119	ATP3	558.560379518818	22	Non-Hub-Non-Bottleneck	NHNB	3
120	ATP4	346.965216393963	21	Non-Hub-Non-Bottleneck	NHNB	3
121	ATP5	841.834092685543	23	Non-Hub-Non-Bottleneck	NHNB	3
122	ATP7	119.745694448863	19	Non-Hub-Non-Bottleneck	NHNB	3
123	ATP8	134.594462704478	19	Non-Hub-Non-Bottleneck	NHNB	3
124	ATS1	454.514346032016	9	Non-Hub-Non-Bottleneck	NHNB	4
125	ATX1	167.283965829485	5	Non-Hub-Non-Bottleneck	NHNB	4
126	ATX2	14.1152491966523	2	Non-Hub-Non-Bottleneck	NHNB	4
127	AYR1	99.0516175271415	7	Non-Hub-Non-Bottleneck	NHNB	1
128	BAT1	733.259452514381	16	Non-Hub-Non-Bottleneck	NHNB	2
129	BAT2	944.682917160768	17	Non-Hub-Non-Bottleneck	NHNB	2
130	BCK1	1997.20197488099	48	Hub-Bottleneck	HB	4
131	BCP1	28.4075511329748	4	Non-Hub-Non-Bottleneck	NHNB	4
132	BCS1	980.359752609642	37	Hub-Non-Bottleneck	HNB	3
133	BCY1	1584.25944034086	29	Hub-Non-Bottleneck	HNB	4
134	BDF1	3580.67689338354	68	Hub-Bottleneck	HB	14
135	BEM3	125.389903884678	11	Non-Hub-Non-Bottleneck	NHNB	4
136	BET3	320.663945475823	18	Non-Hub-Non-Bottleneck	NHNB	6
137	BET4	347.228743451643	11	Non-Hub-Non-Bottleneck	NHNB	6
138	BFA1	366.818496324261	19	Non-Hub-Non-Bottleneck	NHNB	4
139	BFR1	62.2423072573958	7	Non-Hub-Non-Bottleneck	NHNB	8
140	BFR2	911.060962686203	32	Hub-Non-Bottleneck	HNB	11
141	BIM1	1110.98272778288	24	Non-Hub-Non-Bottleneck	NHNB	4
142	BIO2	23.7761938785051	2	Non-Hub-Non-Bottleneck	NHNB	25
143	BIR1	1568.51312534819	31	Hub-Non-Bottleneck	HNB	7
144	BMH1	6460.95631714347	58	Hub-Bottleneck	HB	4
145	BMH2	3241.5725874586	47	Hub-Bottleneck	HB	4
146	BMS1	2454.5119395842	50	Hub-Bottleneck	HB	11
