rownames(topologies_DEGs_lipid_stress_data)	Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership
1	ACB1	3.73420085304102	0.0194500469544137	0.0275065201917253	YGR037C	S000003269	ORF	559731	559994	-1	264	VII	Acyl-CoA-Binding	264	Lipid metabolism-coding genes	212.182081567966	6	Non-Hub-Non-Bottleneck	NHNB	1
2	ACC1	3.13653003330877	0.160045423950225	0.22633840914616	YNR016C	S000005299	ORF	654673	661374	-1	6702	XIV	Acetyl-CoA Carboxylase	6702	Lipid metabolism-coding genes	2992.08104807778	25	Non-Hub-Bottleneck	NHB	9
3	ACH1	2.59521321006849	0.0665561661689824	0.0941246328557323	YBL015W	S000000111	ORF	194122	195702	1	1581	II	Acetyl CoA Hydrolase	1581	Lipid metabolism-coding genes	380.966057710746	19	Non-Hub-Non-Bottleneck	NHNB	9
4	ACL4	2.50041110927051	0.486936459868545	0.688632145560038	YDR161W	S000002568	ORF	779043	780206	1	1164	IV	Assembly Chaperone of RpL4	1164	Proteostasis-coding genes	4.4220410634859	3	Non-Hub-Non-Bottleneck	NHNB	4
5	ACO1	2.35192112686756	0.046717183088318	0.0660680739193663	YLR304C	S000004295	ORF	735212	737548	-1	2337	XII	ACOnitase	2337	Lipid metabolism-coding genes	5683.2617009352	56	Hub-Bottleneck	HB	3
6	ACP1	3.42606896628811	0.205748342801181	0.290972096825219	YKL192C	S000001675	ORF	80160	80537	-1	378	XI	Acyl Carrier Protein	378	Lipid metabolism-coding genes	5331.76388024755	38	Hub-Bottleneck	HB	4
7	AFG3	3.25398231614188	0.0932567814752177	0.131885005145517	YER017C	S000000819	ORF	189503	191788	-1	2286	V	ATPase Family Gene	2286	Proteostasis-coding genes	3482.64361681349	22	Non-Hub-Bottleneck	NHB	4
8	AHA1	2.51236896601562	0.0823349907752324	0.116439260612197	YDR214W	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	Proteostasis-coding genes	335.495921208745	11	Non-Hub-Non-Bottleneck	NHNB	4
9	AIM45	2.83372876498127	0.25329490966428	0.358213096527292	YPR004C	S000006208	ORF	564007	565041	-1	1035	XVI	Altered Inheritance rate of Mitochondria	1035	Lipid metabolism-coding genes	618.812039079477	8	Non-Hub-Non-Bottleneck	NHNB	4
10	ALD4	2.29824594323321	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560	Lipid metabolism-coding genes	3730.58954372564	37	Hub-Bottleneck	HB	9
11	ALD5	2.52182851331016	0.126358034902258	0.178697246673587	YER073W	S000000875	ORF	304030	305592	1	1563	V	ALdehyde Dehydrogenase	1563	Lipid metabolism-coding genes	1275.74860886969	28	Hub-Non-Bottleneck	HNB	9
12	ALE1	2.55005149452183	0.0782054574634652	0.110599218596425	YOR175C	S000005701	ORF	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	1860	Lipid metabolism-coding genes	1860.21231591626	30	Hub-Bottleneck	HB	1
13	ALT1	2.79631249581183	0.000155158251895493	0.000219426904144707	YLR089C	S000004079	ORF	318237	320015	-1	1779	XII	ALanine Transaminase	1779	Lipid metabolism-coding genes	1197.60912847793	22	Non-Hub-Non-Bottleneck	NHNB	9
14	APE1	2.33575598019425	0.11559420939033	0.1634748986516	YKL103C	S000001586	ORF	246138	247682	-1	1545	XI	AminoPeptidase	1545	Autophagy-coding genes	16.9213184259248	7	Non-Hub-Non-Bottleneck	NHNB	12
15	ARE1	2.5363505152653	0.256919353819219	0.363338834607272	YCR048W	S000000644	ORF	211929	213761	1	1833	III	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	1833	Lipid metabolism-coding genes	1588.44756250406	31	Hub-Non-Bottleneck	HNB	6
16	ARG5,6	3.09344134857757	0.375517530548161	0.531061984610063	YER069W	S000000871	ORF	295410	298001	1	2592	V	ARGinine requiring	2592	Lipid metabolism-coding genes	253.565607768357	12	Non-Hub-Non-Bottleneck	NHNB	7
17	ARV1	2.35482662660431	0.344927678094502	0.487801400399106	YLR242C	S000004232	ORF	622918	623883	-1	966	XII	ARE2 Required for Viability	966	Lipid metabolism-coding genes	410.521751231646	10	Non-Hub-Non-Bottleneck	NHNB	4
18	ATG1	2.30477392925464	0.177238362686016	0.250652896283366	YGL180W	S000003148	ORF	160065	162758	1	2694	VII	AuTophaGy related	2694	Autophagy-coding genes	12658.7457842529	60	Hub-Bottleneck	HB	12
19	ATG18	2.43332175269768	0.340777129011409	0.481931637594501	YFR021W	S000001917	ORF	194812	196314	1	1503	VI	AuTophaGy related	1503	Autophagy-coding genes	3319.04512668744	35	Hub-Bottleneck	HB	12
20	ATG33	2.3543612451163	0.0185935401195698	0.0262952366096239	YLR356W	S000004348	ORF	840321	840914	1	594	XII	AuTophaGy related	594	Autophagy-coding genes	340.494477199893	11	Non-Hub-Non-Bottleneck	NHNB	4
21	ATG34	3.34119639858405	0.407379653998262	0.576121831719202	YOL083W	S000005443	ORF	165714	166952	1	1239	XV	AuTophaGy related	1239	Autophagy-coding genes	143.394935722244	9	Non-Hub-Non-Bottleneck	NHNB	12
22	ATG38	2.35099132065911	0.00614987115420407	0.00869723119312247	YLR211C	S000004201	ORF	563792	564531	-1	740	XII	AuTophaGy related	740	Autophagy-coding genes	0	8	Non-Hub-Non-Bottleneck	NHNB	12
23	ATG41	2.99348509070484	0.337823748396015	0.477754926673361	YPL250C	S000006171	ORF	74309	74719	-1	411	XVI	AuTophaGy related	411	Autophagy-coding genes	3.17785194326744	2	Non-Hub-Non-Bottleneck	NHNB	12
24	ATG5	2.1283057227074	0.0360068608220172	0.0509213909129772	YPL149W	S000006070	ORF	271310	272194	1	885	XVI	AuTophaGy related	885	Autophagy-coding genes	722.469665072473	18	Non-Hub-Non-Bottleneck	NHNB	12
25	ATG8	2.33980327182141	0.085589587118795	0.121041954901314	YBL078C	S000000174	ORF	80378	80731	-1	354	II	AuTophaGy related	354	Autophagy-coding genes	7104.8156021227	46	Hub-Bottleneck	HB	12
26	BCS1	2.43021616912535	0.0984732796066749	0.139262247551118	YDR375C	S000002783	ORF	1225166	1226536	-1	1371	IV	ubiquinol-cytochrome c reductase (bc1) Synthesis	1371	Proteostasis-coding genes	980.359752609642	37	Hub-Non-Bottleneck	HNB	3
27	BOL1	2.03794616505206	0.000900043045977572	0.00127285308234107	YAL044W-A	S000007586	ORF	57518	57850	1	333	I	BolA-like protein	333	Lipid metabolism-coding genes	57.6326687192558	6	Non-Hub-Non-Bottleneck	NHNB	2
28	BOL3	3.4268830091904	0.194382522445306	0.274898399530444	YAL046C	S000000044	ORF	57029	57385	-1	357	I	BolA-like protein	357	Lipid metabolism-coding genes	450.061887758431	16	Non-Hub-Non-Bottleneck	NHNB	2
29	CAT2	2.96679052153588	0.0832197861419952	0.117690550219798	YML042W	S000004506	ORF	192788	194800	1	2013	XIII	Carnitine AcetylTransferase	2013	Lipid metabolism-coding genes	821.010378906382	22	Non-Hub-Non-Bottleneck	NHNB	2
30	CCP1	2.66911362477275	0.431833726867522	0.610705113226168	YKR066C	S000001774	ORF	566113	567198	-1	1086	XI	Cytochrome c Peroxidase	1086	Lipid metabolism-coding genes	728.739485374411	10	Non-Hub-Non-Bottleneck	NHNB	4
31	CCS1	4.4541509328629	0.62984823395114	0.890739914690444	YMR038C	S000004641	ORF	347511	348260	-1	750	XIII	Copper Chaperone for SOD1	750	Proteostasis-coding genes	724.47807637743	18	Non-Hub-Non-Bottleneck	NHNB	3
32	CEM1	3.66153524575258	0.339611776072843	0.480283579663829	YER061C	S000000863	ORF	278298	279626	-1	1329	V	Condensing Enzyme with Mitochondrial function	1329	Lipid metabolism-coding genes	447.898221863183	9	Non-Hub-Non-Bottleneck	NHNB	13
33	CHO1	2.32701066924998	0.232833399245115	0.329276150985871	YER026C	S000000828	ORF	207644	208474	-1	831	V	CHOline requiring	831	Lipid metabolism-coding genes	3353.28183526154	28	Hub-Bottleneck	HB	4
34	CHO2	2.50256183836614	0.139405611346532	0.197149306237178	YGR157W	S000003389	ORF	802440	805049	1	2610	VII	CHOline requiring	2610	Lipid metabolism-coding genes	533.69319480975	14	Non-Hub-Non-Bottleneck	NHNB	1
35	CIR1	2.38702350673388	0.0779716430868242	0.110268555133901	YGR207C	S000003439	ORF	910843	911628	-1	786	VII	Changed Intracellular Redox state	786	Lipid metabolism-coding genes	238.772211139949	7	Non-Hub-Non-Bottleneck	NHNB	4
36	CIT1	2.40985024301377	0.258448182294821	0.36550092457201	YNR001C	S000005284	ORF	629622	631061	-1	1440	XIV	CITrate synthase	1440	Lipid metabolism-coding genes	6674.88288508842	65	Hub-Bottleneck	HB	3
37	COG2	2.37177244846337	0.133240241664083	0.188430156815216	YGR120C	S000003352	ORF	730033	730821	-1	789	VII	Conserved Oligomeric Golgi complex	789	Autophagy-coding genes	625.70007473968	13	Non-Hub-Non-Bottleneck	NHNB	5
38	COX14	2.24028014946923	0.0863825321680274	0.122163348544154	YML129C	S000004598	ORF	14541	14753	-1	213	XIII	Cytochrome c OXidase	213	Lipid metabolism-coding genes	3.97139591501054	4	Non-Hub-Non-Bottleneck	NHNB	23
39	CPR5	5.24318569483577	0.176203727874984	0.2491897017015	YDR304C	S000002712	ORF	1071880	1072557	-1	678	IV	Cyclosporin-sensitive Proline Rotamase	678	Proteostasis-coding genes	740.912912754921	6	Non-Hub-Non-Bottleneck	NHNB	15
40	CPR6	2.60672297176962	0.0497693420931544	0.0703844785785251	YLR216C	S000004206	ORF	572096	573211	-1	1116	XII	Cyclosporin-sensitive Proline Rotamase	1116	Proteostasis-coding genes	646.647051013524	15	Non-Hub-Non-Bottleneck	NHNB	4
41	CTA1	3.27229498899622	0.0668761023258768	0.0945770909079059	YDR256C	S000002664	ORF	968133	969680	-1	1548	IV	CaTalase A	1548	Lipid metabolism-coding genes	4628.02689044575	33	Hub-Bottleneck	HB	2
42	CUE5	2.41573595144439	0.0470781931601802	0.0665786192591472	YOR042W	S000005568	ORF	408425	409660	1	1236	XV	Coupling of Ubiquitin conjugation to ER degradation	1236	Autophagy-coding genes	1531.5952565209	16	Non-Hub-Non-Bottleneck	NHNB	4
43	DAP1	2.24393007033903	0.154030624345568	0.217832197970298	YPL170W	S000006091	ORF	228314	228772	1	459	XVI	DAmage resistance Protein	459	Lipid metabolism-coding genes	2714.05990549378	31	Hub-Bottleneck	HB	6
44	DLD2	2.36634033047643	0.101836228871858	0.144018176011513	YDL178W	S000002337	ORF	139522	141114	1	1593	IV	D-Lactate Dehydrogenase	1593	Lipid metabolism-coding genes	185.95286989817	13	Non-Hub-Non-Bottleneck	NHNB	20
45	DPL1	2.29957119572367	0.163435612083148	0.231132859182736	YDR294C	S000002702	ORF	1050459	1052228	-1	1770	IV	Dihydrosphingosine Phosphate Lyase	1770	Lipid metabolism-coding genes	849.802771432345	14	Non-Hub-Non-Bottleneck	NHNB	27
46	ECM10	2.29953976920312	0.11136931888286	0.157500001196394	YEL030W	S000000756	ORF	94644	96578	1	1935	V	ExtraCellular Mutant	1935	Proteostasis-coding genes	200.073240659307	9	Non-Hub-Non-Bottleneck	NHNB	3
47	ECM22	2.44498385619288	0.041591652691922	0.0588194793184275	YLR228C	S000004218	ORF	600019	602463	-1	2445	XII	ExtraCellular Mutant	2445	Lipid metabolism-coding genes	153.098380068812	5	Non-Hub-Non-Bottleneck	NHNB	4
48	EDE1	3.12496424216061	0.0871856023982105	0.123299061355218	YBL047C	S000000143	ORF	127895	132040	-1	4146	II	EH Domains and Endocytosis	4146	Proteostasis-coding genes	1156.55233541013	19	Non-Hub-Non-Bottleneck	NHNB	4
49	EEB1	3.87596996868225	0.118992460260681	0.168280751120796	YPL095C	S000006016	ORF	368071	369441	-1	1371	XVI	Ethyl Ester Biosynthesis	1371	Lipid metabolism-coding genes	0	1	Non-Hub-Non-Bottleneck	NHNB	35
50	ERG1	2.29559144080144	0.236614641649479	0.334623635276742	YGR175C	S000003407	ORF	846933	848423	-1	1491	VII	ERGosterol biosynthesis	1491	Lipid metabolism-coding genes	736.969879522056	12	Non-Hub-Non-Bottleneck	NHNB	31
51	ERG10	4.91695785892685	0.0342987601229332	0.0485057717384336	YPL028W	S000005949	ORF	498096	499292	1	1197	XVI	ERGosterol biosynthesis	1197	Lipid metabolism-coding genes	1232.5744233977	23	Non-Hub-Non-Bottleneck	NHNB	9
52	ERG2	2.84641535160781	0.0614807989036252	0.0869469796350397	YMR202W	S000004815	ORF	667537	668205	1	669	XIII	ERGosterol biosynthesis	669	Lipid metabolism-coding genes	1667.34750906062	18	Non-Hub-Bottleneck	NHB	31
53	ERG20	2.14316081017959	0.01611101109165	0.0227844103893548	YJL167W	S000003703	ORF	105014	106072	1	1059	X	ERGosterol biosynthesis	1059	Lipid metabolism-coding genes	2122.75978184522	14	Non-Hub-Bottleneck	NHB	28
54	ERG24	2.39156934559225	0.316397975222974	0.447454307667717	YNL280C	S000005224	ORF	109095	110411	-1	1317	XIV	ERGosterol biosynthesis	1317	Lipid metabolism-coding genes	487.670402733166	13	Non-Hub-Non-Bottleneck	NHNB	31
55	ERG25	2.40231096691155	0.0715953686958648	0.101251141412794	YGR060W	S000003292	ORF	610564	611493	1	930	VII	ERGosterol biosynthesis	930	Lipid metabolism-coding genes	2804.58683795317	22	Non-Hub-Bottleneck	NHB	31
56	ERG26	4.16948281573652	0.0109674866221408	0.0155103683261769	YGL001C	S000002969	ORF	495453	496502	-1	1050	VII	ERGosterol biosynthesis	1050	Lipid metabolism-coding genes	1638.85602565807	18	Non-Hub-Non-Bottleneck	NHNB	31
57	ERG27	4.05001101753348	0.0784123074648817	0.110891748673805	YLR100W	S000004090	ORF	341810	342853	1	1044	XII	ERGosterol biosynthesis	1044	Lipid metabolism-coding genes	439.152296948711	15	Non-Hub-Non-Bottleneck	NHNB	31
58	ERG28	3.58901137448365	0.0712281107483752	0.100731760242565	YER044C	S000000846	ORF	237570	238016	-1	447	V	ERGosterol biosynthesis	447	Lipid metabolism-coding genes	28.903761600659	11	Non-Hub-Non-Bottleneck	NHNB	31
59	ERG29	2.37892374658171	0.0688969367614274	0.0974349823739721	YMR134W	S000004741	ORF	537838	538551	1	714	XIII	ERGosterol biosynthesis	714	Lipid metabolism-coding genes	343.194385822139	5	Non-Hub-Non-Bottleneck	NHNB	32
60	ERG3	3.73694516769586	0.0403611672220061	0.0570793100785695	YLR056W	S000004046	ORF	253861	254958	1	1098	XII	ERGosterol biosynthesis	1098	Lipid metabolism-coding genes	1540.122281934	19	Non-Hub-Non-Bottleneck	NHNB	31
61	ERG5	2.48415989900556	0.0882060534271296	0.124742197040053	YMR015C	S000004617	ORF	300869	302485	-1	1617	XIII	ERGosterol biosynthesis	1617	Lipid metabolism-coding genes	760.575925514507	13	Non-Hub-Non-Bottleneck	NHNB	31
62	ERG6	3.7664537085982	0.0131630676635583	0.0186153888122389	YML008C	S000004467	ORF	251839	252990	-1	1152	XIII	ERGosterol biosynthesis	1152	Lipid metabolism-coding genes	6353.53210456488	34	Hub-Bottleneck	HB	31
