rownames(topologies_DEGs_lipid_stress_data_filtered_cluster_color)	Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership	Cluster_number	Color
1	ACB1	3.73420085304102	0.0194500469544137	0.0275065201917253	YGR037C	S000003269	ORF	559731	559994	-1	264	VII	Acyl-CoA-Binding	264	Lipid metabolism-coding genes	212.182081567966	6	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
2	ALE1	2.55005149452183	0.0782054574634652	0.110599218596425	YOR175C	S000005701	ORF	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	1860	Lipid metabolism-coding genes	1860.21231591626	30	Hub-Bottleneck	HB	1	Cluster 1	#666666
3	CHO2	2.50256183836614	0.139405611346532	0.197149306237178	YGR157W	S000003389	ORF	802440	805049	1	2610	VII	CHOline requiring	2610	Lipid metabolism-coding genes	533.69319480975	14	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
4	FAA2	3.02114638372379	0.354982139945358	0.50202055671095	YER015W	S000000817	ORF	184541	186775	1	2235	V	Fatty Acid Activation	2235	Lipid metabolism-coding genes	303.799115730188	12	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
5	FAA4	3.44220475390343	0.919628444874017	1.30055101908491	YMR246W	S000004860	ORF	759807	761891	1	2085	XIII	Fatty Acid Activation	2085	Lipid metabolism-coding genes	1317.2004776667	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
6	GPT2	2.28382477135465	0.00920838758340459	0.0130226266080388	YKR067W	S000001775	ORF	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	2232	Lipid metabolism-coding genes	561.946276429987	17	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
7	GUT1	4.11617706445338	0.188589514927233	0.266705849731456	YHL032C	S000001024	ORF	36379	38508	-1	2130	VIII	Glycerol UTilization	2130	Lipid metabolism-coding genes	2048.1402530811	17	Non-Hub-Bottleneck	NHB	1	Cluster 1	#666666
8	HCH1	2.95136807506079	0.434277243870584	0.614160768111788	YNL281W	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462	Proteostasis-coding genes	315.636363651631	6	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
9	OPI3	3.48867644350492	2.97613121142959e-05	4.20888512260559e-05	YJR073C	S000003834	ORF	572315	572935	-1	621	X	OverProducer of Inositol	621	Lipid metabolism-coding genes	861.969429896217	18	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
10	PLB2	2.07242716110082	0.0209907289733668	0.0296853735982333	YMR006C	S000004608	ORF	277561	279681	-1	2121	XIII	PhosphoLipase B	2121	Lipid metabolism-coding genes	5.3663769382199	6	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
11	TAM41	2.3060923433848	0.113808924379901	0.16095012437715	YGR046W	S000003278	ORF	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	1158	Lipid metabolism-coding genes	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	#666666
