Feature	Genes	SGD_name	gene_biotype	meta_logFC	SE	SD	start_position	end_position	strand	length	chromosome_name	Feature_definition	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	Betweenness_value	Degree_value	node_type	node_type_abbrev	WTC_membership	Cluster	Condition	Cluster_number
ACB1	YGR037C	S000003269	ORF	3.73420085304102	0.0194500469544137	0.0275065201917253	559731	559994	-1	264	VII	Acyl-CoA-Binding	GO:0010876	Lipid localization	6/56	76/5800	8.00611965587329e-05	0.000807890256183578	0.000661430619097666	6	212.182081567966	6	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
ACB1	YGR037C	S000003269	ORF	3.73420085304102	0.0194500469544137	0.0275065201917253	559731	559994	-1	264	VII	Acyl-CoA-Binding	GO:0015718	Monocarboxylic acid transport	3/56	25/5800	0.00168694270019014	0.011464324880884	0.00938599697850154	3	212.182081567966	6	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
TAM41	YGR046W	S000003278	ORF	2.3060923433848	0.113808924379901	0.16095012437715	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	GO:0006220	Pyrimidine nucleotide metabolic process	5/56	26/5800	3.94310238706588e-06	4.37684364964312e-05	3.58338076578969e-05	5	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
TAM41	YGR046W	S000003278	ORF	2.3060923433848	0.113808924379901	0.16095012437715	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
TAM41	YGR046W	S000003278	ORF	2.3060923433848	0.113808924379901	0.16095012437715	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
TAM41	YGR046W	S000003278	ORF	2.3060923433848	0.113808924379901	0.16095012437715	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	GO:0006221	Pyrimidine nucleotide biosynthetic process	5/56	26/5800	3.94310238706588e-06	4.37684364964312e-05	3.58338076578969e-05	5	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
TAM41	YGR046W	S000003278	ORF	2.3060923433848	0.113808924379901	0.16095012437715	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	GO:0072528	Pyrimidine-containing compound biosynthetic process	5/56	47/5800	7.88072065520669e-05	0.000807890256183578	0.000661430619097666	5	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
TAM41	YGR046W	S000003278	ORF	2.3060923433848	0.113808924379901	0.16095012437715	584895	586052	1	1158	VII	Translocator Assembly and Maintenance	GO:0072527	Pyrimidine-containing compound metabolic process	5/56	51/5800	0.000117193993905235	0.00105474594514712	0.000863534691933311	5	766.428056909933	8	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
CHO2	YGR157W	S000003389	ORF	2.50256183836614	0.139405611346532	0.197149306237178	802440	805049	1	2610	VII	CHOline requiring	GO:0046486	Glycerolipid metabolic process	35/56	131/5800	1.72366190931139e-45	5.73979415800692e-43	4.69924667906999e-43	35	533.69319480975	14	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
CHO2	YGR157W	S000003389	ORF	2.50256183836614	0.139405611346532	0.197149306237178	802440	805049	1	2610	VII	CHOline requiring	GO:0019637	Organophosphate metabolic process	38/56	445/5800	5.53282938149877e-30	2.6320459771987e-28	2.15489144332057e-28	38	533.69319480975	14	Non-Hub-Non-Bottleneck	NHNB	1	Cluster 1	Lipid metabolism-coding genes	NA
