rownames(lipid_standardization_results_omics_attributes_b)	Feature	Main.class	combined_score	Gene	Mean_FC_12_6	Mean_FC_20_6	meta_logFC	node_type_abbrev	Cluster	Condition	Expression_data	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length
1	POT1	Fatty esters	0.9	YIL160C	4.00142762037055	19.7535021611952	3.20850209212166	HB	Cluster 2	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.139332510972965	0.197045926697465	YIL160C	S000001422	ORF	40191	41444	-1	1254	IX	Peroxisomal Oxoacyl Thiolase	1254
2	LCB5	Sphingomyelins	0.9	YLR260W	1.07723623033657	1.31264225066845	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	OLE1	Fatty esters	0.9	YGL055W	0.215950451379999	0.283657703951933	2.12325448090736	HB	Cluster 4	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.00691406581912846	0.0097779656525517	YGL055W	S000003023	ORF	398628	400160	1	1533	VII	OLEic acid requiring	1533
4	ERG3	Sterols	0.9	YLR056W	0.224524839789521	0.219276051375861	3.73694516769586	NHNB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0403611672220061	0.0570793100785695	YLR056W	S000004046	ORF	253861	254958	1	1098	XII	ERGosterol biosynthesis	1098
5	ERG6	Sterols	0.9	YML008C	0.84998480352287	0.767009839235851	3.7664537085982	HB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0131630676635583	0.0186153888122389	YML008C	S000004467	ORF	251839	252990	-1	1152	XIII	ERGosterol biosynthesis	1152
6	ERG2	Sterols	0.9	YMR202W	0.848880355853795	0.72777380284571	2.84641535160781	NHB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0614807989036252	0.0869469796350397	YMR202W	S000004815	ORF	667537	668205	1	669	XIII	ERGosterol biosynthesis	669
7	ERG26	Sterols	0.9	YGL001C	1.43585069513093	1.32070077847088	4.16948281573652	NHNB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0109674866221408	0.0155103683261769	YGL001C	S000002969	ORF	495453	496502	-1	1050	VII	ERGosterol biosynthesis	1050
8	ERG27	Sterols	0.9	YLR100W	0.836218323141326	0.549236272639575	4.05001101753348	NHNB	Cluster 31	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0784123074648817	0.110891748673805	YLR100W	S000004090	ORF	341810	342853	1	1044	XII	ERGosterol biosynthesis	1044
9	POX1	Fatty esters	0.9	YGL205W	1.00704877985915	9.80637178875992	2.51526723711918	HB	Cluster 2	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0106737874451608	0.0150950149668341	YGL205W	S000003173	ORF	108158	110404	1	2247	VII		2247
10	LSC2	Fatty esters	0.9	YGR244C	3.23898702110249	5.96261736421099	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	TGL4	Glycerophosphoethanolamines	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	FAA4	Fatty esters	0.9	YMR246W	0.419998479810231	0.395893681705692	3.44220475390343	NHNB	Cluster 1	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.919628444874017	1.30055101908491	YMR246W	S000004860	ORF	759807	761891	1	2085	XIII	Fatty Acid Activation	2085
13	FAA1	Fatty esters	0.9	YOR317W	1.93451505331947	2.19351852042789	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	SLC1	Fatty esters	0.9	YDL052C	0.922886047536933	0.88688068914441	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	YJU3	Fatty esters	0.9	YKL094W	1.2306373921133	1.41530510452573	2.89454306971801	NHNB	Cluster 1	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.315107388172261	0.445629141957174	YKL094W	S000001577	ORF	263349	264290	1	942	XI		942
16	GPT2	Fatty esters	0.9	YKR067W	2.49713113287327	4.15220158517741	2.28382477135465	NHNB	Cluster 1	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.00920838758340459	0.0130226266080388	YKR067W	S000001775	ORF	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	2232
17	TGL4	Fatty esters	0.9	YKR089C	1.24772951195119	1.34930347896533	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	GPD2	Fatty esters	0.9	YOL059W	0.629421684452233	0.683043829197423	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	LOA1	Fatty esters	0.9	NA	NA	NA	NA	NA	NA	NA	No expression data	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	YJU3	Monoradylglycerols	0.964	YKL094W	1.2306373921133	1.41530510452573	2.89454306971801	NHNB	Cluster 1	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.315107388172261	0.445629141957174	YKL094W	S000001577	ORF	263349	264290	1	942	XI		942
21	LSC2	Quinones and hydroquinones	0.9	YGR244C	3.23898702110249	5.96261736421099	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	GPD2	Quinones and hydroquinones	0.9	YOL059W	0.629421684452233	0.683043829197423	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	ALD4	Quinones and hydroquinones	0.9	YOR374W	1.76611042158097	6.96283816507421	2.29824594323321	HB	Cluster 9	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560
24	URE2	Fatty aldehydes	0.9	YNL229C	0.960996442393024	1.26782863185041	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	FAA4	Fatty acids	0.9	YMR246W	0.419998479810231	0.395893681705692	3.44220475390343	NHNB	Cluster 1	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.919628444874017	1.30055101908491	YMR246W	S000004860	ORF	759807	761891	1	2085	XIII	Fatty Acid Activation	2085
26	FAA1	Fatty acids	0.9	YOR317W	1.93451505331947	2.19351852042789	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	LEU4	Fatty acids	0.9	YNL104C	1.01063761795165	1.64006651046585	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	LEU4	Fatty acids	0.958	YNL104C	1.01063761795165	1.64006651046585	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	LCB5	Sphingoid bases	0.981	YLR260W	1.07723623033657	1.31264225066845	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	POX1	Fatty esters	0.915	YGL205W	1.00704877985915	9.80637178875992	2.51526723711918	HB	Cluster 2	Lipid metabolism-coding genes	Expressed in proteome and transcriptome	0.0106737874451608	0.0150950149668341	YGL205W	S000003173	ORF	108158	110404	1	2247	VII		2247
31	FAS1	Fatty esters	0.9	YKL182W	1.04047185465299	0.958811661819462	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	LCB1	Fatty esters	0.9	YMR296C	0.795982275058021	0.798307121778971	NA	NA	NA	NA	Expressed in proteome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
