Feature	meta_logFC	SE	SD	Genes	SGD_name	gene_biotype	start_position	end_position	strand	length	chromosome_name	Feature_definition	Length	Condition
ACB1	3.73420085304102	0.0194500469544137	0.0275065201917253	YGR037C	S000003269	ORF	559731	559994	-1	264	VII	Acyl-CoA-Binding	264	Lipid metabolism-coding genes
ACC1	3.13653003330877	0.160045423950225	0.22633840914616	YNR016C	S000005299	ORF	654673	661374	-1	6702	XIV	Acetyl-CoA Carboxylase	6702	Lipid metabolism-coding genes
ACH1	2.59521321006849	0.0665561661689824	0.0941246328557323	YBL015W	S000000111	ORF	194122	195702	1	1581	II	Acetyl CoA Hydrolase	1581	Lipid metabolism-coding genes
ACL4	2.50041110927051	0.486936459868545	0.688632145560038	YDR161W	S000002568	ORF	779043	780206	1	1164	IV	Assembly Chaperone of RpL4	1164	Proteostasis-coding genes
ACO1	2.35192112686756	0.046717183088318	0.0660680739193663	YLR304C	S000004295	ORF	735212	737548	-1	2337	XII	ACOnitase	2337	Lipid metabolism-coding genes
ACP1	3.42606896628811	0.205748342801181	0.290972096825219	YKL192C	S000001675	ORF	80160	80537	-1	378	XI	Acyl Carrier Protein	378	Lipid metabolism-coding genes
AFG3	3.25398231614188	0.0932567814752177	0.131885005145517	YER017C	S000000819	ORF	189503	191788	-1	2286	V	ATPase Family Gene	2286	Proteostasis-coding genes
AHA1	2.51236896601562	0.0823349907752324	0.116439260612197	YDR214W	S000002622	ORF	892875	893927	1	1053	IV	Activator of Heat shock protein 90 ATPase	1053	Proteostasis-coding genes
AIM45	2.83372876498127	0.25329490966428	0.358213096527292	YPR004C	S000006208	ORF	564007	565041	-1	1035	XVI	Altered Inheritance rate of Mitochondria	1035	Lipid metabolism-coding genes
ALD4	2.29824594323321	0.069828789969405	0.0987528218188349	YOR374W	S000005901	ORF	1039840	1041399	1	1560	XV	ALdehyde Dehydrogenase	1560	Lipid metabolism-coding genes
ALD5	2.52182851331016	0.126358034902258	0.178697246673587	YER073W	S000000875	ORF	304030	305592	1	1563	V	ALdehyde Dehydrogenase	1563	Lipid metabolism-coding genes
ALE1	2.55005149452183	0.0782054574634652	0.110599218596425	YOR175C	S000005701	ORF	659815	661674	-1	1860	XV	Acyltransferase for Lyso-phosphatidylEthanolamine	1860	Lipid metabolism-coding genes
ALT1	2.79631249581183	0.000155158251895493	0.000219426904144707	YLR089C	S000004079	ORF	318237	320015	-1	1779	XII	ALanine Transaminase	1779	Lipid metabolism-coding genes
APE1	2.33575598019425	0.11559420939033	0.1634748986516	YKL103C	S000001586	ORF	246138	247682	-1	1545	XI	AminoPeptidase	1545	Autophagy-coding genes
ARE1	2.5363505152653	0.256919353819219	0.363338834607272	YCR048W	S000000644	ORF	211929	213761	1	1833	III	Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme	1833	Lipid metabolism-coding genes
ARG5,6	3.09344134857757	0.375517530548161	0.531061984610063	YER069W	S000000871	ORF	295410	298001	1	2592	V	ARGinine requiring	2592	Lipid metabolism-coding genes
ARV1	2.35482662660431	0.344927678094502	0.487801400399106	YLR242C	S000004232	ORF	622918	623883	-1	966	XII	ARE2 Required for Viability	966	Lipid metabolism-coding genes
ATG1	2.30477392925464	0.177238362686016	0.250652896283366	YGL180W	S000003148	ORF	160065	162758	1	2694	VII	AuTophaGy related	2694	Autophagy-coding genes
ATG18	2.43332175269768	0.340777129011409	0.481931637594501	YFR021W	S000001917	ORF	194812	196314	1	1503	VI	AuTophaGy related	1503	Autophagy-coding genes
ATG33	2.3543612451163	0.0185935401195698	0.0262952366096239	YLR356W	S000004348	ORF	840321	840914	1	594	XII	AuTophaGy related	594	Autophagy-coding genes
ATG34	3.34119639858405	0.407379653998262	0.576121831719202	YOL083W	S000005443	ORF	165714	166952	1	1239	XV	AuTophaGy related	1239	Autophagy-coding genes
ATG38	2.35099132065911	0.00614987115420407	0.00869723119312247	YLR211C	S000004201	ORF	563792	564531	-1	740	XII	AuTophaGy related	740	Autophagy-coding genes
ATG41	2.99348509070484	0.337823748396015	0.477754926673361	YPL250C	S000006171	ORF	74309	74719	-1	411	XVI	AuTophaGy related	411	Autophagy-coding genes
ATG5	2.1283057227074	0.0360068608220172	0.0509213909129772	YPL149W	S000006070	ORF	271310	272194	1	885	XVI	AuTophaGy related	885	Autophagy-coding genes
ATG8	2.33980327182141	0.085589587118795	0.121041954901314	YBL078C	S000000174	ORF	80378	80731	-1	354	II	AuTophaGy related	354	Autophagy-coding genes
BCS1	2.43021616912535	0.0984732796066749	0.139262247551118	YDR375C	S000002783	ORF	1225166	1226536	-1	1371	IV	ubiquinol-cytochrome c reductase (bc1) Synthesis	1371	Proteostasis-coding genes
BOL1	2.03794616505206	0.000900043045977572	0.00127285308234107	YAL044W-A	S000007586	ORF	57518	57850	1	333	I	BolA-like protein	333	Lipid metabolism-coding genes
BOL3	3.4268830091904	0.194382522445306	0.274898399530444	YAL046C	S000000044	ORF	57029	57385	-1	357	I	BolA-like protein	357	Lipid metabolism-coding genes
CAT2	2.96679052153588	0.0832197861419952	0.117690550219798	YML042W	S000004506	ORF	192788	194800	1	2013	XIII	Carnitine AcetylTransferase	2013	Lipid metabolism-coding genes
CCP1	2.66911362477275	0.431833726867522	0.610705113226168	YKR066C	S000001774	ORF	566113	567198	-1	1086	XI	Cytochrome c Peroxidase	1086	Lipid metabolism-coding genes
CCS1	4.4541509328629	0.62984823395114	0.890739914690444	YMR038C	S000004641	ORF	347511	348260	-1	750	XIII	Copper Chaperone for SOD1	750	Proteostasis-coding genes
CEM1	3.66153524575258	0.339611776072843	0.480283579663829	YER061C	S000000863	ORF	278298	279626	-1	1329	V	Condensing Enzyme with Mitochondrial function	1329	Lipid metabolism-coding genes
CHO1	2.32701066924998	0.232833399245115	0.329276150985871	YER026C	S000000828	ORF	207644	208474	-1	831	V	CHOline requiring	831	Lipid metabolism-coding genes
CHO2	2.50256183836614	0.139405611346532	0.197149306237178	YGR157W	S000003389	ORF	802440	805049	1	2610	VII	CHOline requiring	2610	Lipid metabolism-coding genes
CIR1	2.38702350673388	0.0779716430868242	0.110268555133901	YGR207C	S000003439	ORF	910843	911628	-1	786	VII	Changed Intracellular Redox state	786	Lipid metabolism-coding genes
CIT1	2.40985024301377	0.258448182294821	0.36550092457201	YNR001C	S000005284	ORF	629622	631061	-1	1440	XIV	CITrate synthase	1440	Lipid metabolism-coding genes
COG2	2.37177244846337	0.133240241664083	0.188430156815216	YGR120C	S000003352	ORF	730033	730821	-1	789	VII	Conserved Oligomeric Golgi complex	789	Autophagy-coding genes
COX14	2.24028014946923	0.0863825321680274	0.122163348544154	YML129C	S000004598	ORF	14541	14753	-1	213	XIII	Cytochrome c OXidase	213	Lipid metabolism-coding genes
CPR5	5.24318569483577	0.176203727874984	0.2491897017015	YDR304C	S000002712	ORF	1071880	1072557	-1	678	IV	Cyclosporin-sensitive Proline Rotamase	678	Proteostasis-coding genes
CPR6	2.60672297176962	0.0497693420931544	0.0703844785785251	YLR216C	S000004206	ORF	572096	573211	-1	1116	XII	Cyclosporin-sensitive Proline Rotamase	1116	Proteostasis-coding genes
CTA1	3.27229498899622	0.0668761023258768	0.0945770909079059	YDR256C	S000002664	ORF	968133	969680	-1	1548	IV	CaTalase A	1548	Lipid metabolism-coding genes
CUE5	2.41573595144439	0.0470781931601802	0.0665786192591472	YOR042W	S000005568	ORF	408425	409660	1	1236	XV	Coupling of Ubiquitin conjugation to ER degradation	1236	Autophagy-coding genes
DAP1	2.24393007033903	0.154030624345568	0.217832197970298	YPL170W	S000006091	ORF	228314	228772	1	459	XVI	DAmage resistance Protein	459	Lipid metabolism-coding genes
DLD2	2.36634033047643	0.101836228871858	0.144018176011513	YDL178W	S000002337	ORF	139522	141114	1	1593	IV	D-Lactate Dehydrogenase	1593	Lipid metabolism-coding genes
DPL1	2.29957119572367	0.163435612083148	0.231132859182736	YDR294C	S000002702	ORF	1050459	1052228	-1	1770	IV	Dihydrosphingosine Phosphate Lyase	1770	Lipid metabolism-coding genes
ECM10	2.29953976920312	0.11136931888286	0.157500001196394	YEL030W	S000000756	ORF	94644	96578	1	1935	V	ExtraCellular Mutant	1935	Proteostasis-coding genes
ECM22	2.44498385619288	0.041591652691922	0.0588194793184275	YLR228C	S000004218	ORF	600019	602463	-1	2445	XII	ExtraCellular Mutant	2445	Lipid metabolism-coding genes
EDE1	3.12496424216061	0.0871856023982105	0.123299061355218	YBL047C	S000000143	ORF	127895	132040	-1	4146	II	EH Domains and Endocytosis	4146	Proteostasis-coding genes
EEB1	3.87596996868225	0.118992460260681	0.168280751120796	YPL095C	S000006016	ORF	368071	369441	-1	1371	XVI	Ethyl Ester Biosynthesis	1371	Lipid metabolism-coding genes
ERG1	2.29559144080144	0.236614641649479	0.334623635276742	YGR175C	S000003407	ORF	846933	848423	-1	1491	VII	ERGosterol biosynthesis	1491	Lipid metabolism-coding genes
ERG10	4.91695785892685	0.0342987601229332	0.0485057717384336	YPL028W	S000005949	ORF	498096	499292	1	1197	XVI	ERGosterol biosynthesis	1197	Lipid metabolism-coding genes
ERG2	2.84641535160781	0.0614807989036252	0.0869469796350397	YMR202W	S000004815	ORF	667537	668205	1	669	XIII	ERGosterol biosynthesis	669	Lipid metabolism-coding genes
ERG20	2.14316081017959	0.01611101109165	0.0227844103893548	YJL167W	S000003703	ORF	105014	106072	1	1059	X	ERGosterol biosynthesis	1059	Lipid metabolism-coding genes
ERG24	2.39156934559225	0.316397975222974	0.447454307667717	YNL280C	S000005224	ORF	109095	110411	-1	1317	XIV	ERGosterol biosynthesis	1317	Lipid metabolism-coding genes
ERG25	2.40231096691155	0.0715953686958648	0.101251141412794	YGR060W	S000003292	ORF	610564	611493	1	930	VII	ERGosterol biosynthesis	930	Lipid metabolism-coding genes
ERG26	4.16948281573652	0.0109674866221408	0.0155103683261769	YGL001C	S000002969	ORF	495453	496502	-1	1050	VII	ERGosterol biosynthesis	1050	Lipid metabolism-coding genes
ERG27	4.05001101753348	0.0784123074648817	0.110891748673805	YLR100W	S000004090	ORF	341810	342853	1	1044	XII	ERGosterol biosynthesis	1044	Lipid metabolism-coding genes
ERG28	3.58901137448365	0.0712281107483752	0.100731760242565	YER044C	S000000846	ORF	237570	238016	-1	447	V	ERGosterol biosynthesis	447	Lipid metabolism-coding genes
ERG29	2.37892374658171	0.0688969367614274	0.0974349823739721	YMR134W	S000004741	ORF	537838	538551	1	714	XIII	ERGosterol biosynthesis	714	Lipid metabolism-coding genes
ERG3	3.73694516769586	0.0403611672220061	0.0570793100785695	YLR056W	S000004046	ORF	253861	254958	1	1098	XII	ERGosterol biosynthesis	1098	Lipid metabolism-coding genes
ERG5	2.48415989900556	0.0882060534271296	0.124742197040053	YMR015C	S000004617	ORF	300869	302485	-1	1617	XIII	ERGosterol biosynthesis	1617	Lipid metabolism-coding genes
ERG6	3.7664537085982	0.0131630676635583	0.0186153888122389	YML008C	S000004467	ORF	251839	252990	-1	1152	XIII	ERGosterol biosynthesis	1152	Lipid metabolism-coding genes
ERG8	4.55587235282754	0.0167847470548148	0.023737216925921	YMR220W	S000004833	ORF	712316	713671	1	1356	XIII	ERGosterol biosynthesis	1356	Lipid metabolism-coding genes
ERG9	2.15337779879378	0.040561380225155	0.057362454022986	YHR190W	S000001233	ORF	484845	486179	1	1335	VIII	ERGosterol biosynthesis	1335	Lipid metabolism-coding genes
ETR1	2.23526673100645	0.0563923382680636	0.0797508095926268	YBR026C	S000000230	ORF	292877	294019	-1	1143	II	2-Enoyl Thioester Reductase	1143	Lipid metabolism-coding genes
FAA2	3.02114638372379	0.354982139945358	0.50202055671095	YER015W	S000000817	ORF	184541	186775	1	2235	V	Fatty Acid Activation	2235	Lipid metabolism-coding genes
FAA4	3.44220475390343	0.919628444874017	1.30055101908491	YMR246W	S000004860	ORF	759807	761891	1	2085	XIII	Fatty Acid Activation	2085	Lipid metabolism-coding genes
FAS1	2.51871777240052	0.101252721550847	0.143192972044395	YKL182W	S000001665	ORF	100671	106826	1	6156	XI	Fatty Acid Synthetase	6156	Lipid metabolism-coding genes
FAS2	2.91555473844301	0.123493336848236	0.174645951833484	YPL231W	S000006152	ORF	108652	114315	1	5664	XVI	Fatty Acid Synthetase	5664	Lipid metabolism-coding genes
FAT3	3.55888721715296	0.090163590028776	0.127510571850943	YKL187C	S000001670	ORF	89284	91536	-1	2253	XI	FATty acid transporter 3	2253	Lipid metabolism-coding genes
FIS1	4.38804406517229	0.345630554296471	0.4887954174566	YIL065C	S000001327	ORF	241308	241775	-1	468	IX	mitochondrial FISsion	468	Autophagy-coding genes
FOX2	2.2561092723578	0.138432691749957	0.195773390148603	YKR009C	S000001717	ORF	454352	457054	-1	2703	XI	Fatty acid OXidation	2703	Lipid metabolism-coding genes
GCD7	2.2385600700469	0.107588441141674	0.152153032617135	YLR291C	S000004282	ORF	718317	719462	-1	1146	XII	General Control Derepressed	1146	Autophagy-coding genes
GCN4	2.26391249000858	0.12494718003799	0.176701996589998	YEL009C	S000000735	ORF	138918	139763	-1	846	V	General Control Nonderepressible	846	Autophagy-coding genes
GET1	2.41617076553345	0.00709087925158891	0.010028017606747	YGL020C	S000002988	ORF	457163	457870	-1	708	VII	Guided Entry of Tail-anchored proteins	708	Proteostasis-coding genes
GET2	2.67549603286985	0.0957154426165832	0.135362077076916	YER083C	S000000885	ORF	326174	327031	-1	858	V	Guided Entry of Tail-anchored proteins	858	Proteostasis-coding genes
GET3	3.67315106290574	0.0540975209766137	0.0765054478558901	YDL100C	S000002258	ORF	282112	283176	-1	1065	IV	Guided Entry of Tail-anchored proteins	1065	Proteostasis-coding genes
GET4	2.64899766920278	0.109608274233823	0.155009507969782	YOR164C	S000005690	ORF	643394	644332	-1	939	XV	Guided Entry Tail-anchored proteins	939	Proteostasis-coding genes
GLO4	2.29177667973648	0.201453709587046	0.284898568288371	YOR040W	S000005566	ORF	407064	407921	1	858	XV	GLyOxalase	858	Lipid metabolism-coding genes
GPT2	2.28382477135465	0.00920838758340459	0.0130226266080388	YKR067W	S000001775	ORF	567918	570149	1	2232	XI	Glycerol-3-Phosphate acylTransferase	2232	Lipid metabolism-coding genes
GRS1	2.83987412459615	0.0346102561206629	0.0489462936030479	YBR121C	S000000325	ORF	481364	483367	-1	2004	II	Glycyl-tRNA Synthase	2004	Lipid metabolism-coding genes
GUT1	4.11617706445338	0.188589514927233	0.266705849731456	YHL032C	S000001024	ORF	36379	38508	-1	2130	VIII	Glycerol UTilization	2130	Lipid metabolism-coding genes
HCH1	2.95136807506079	0.434277243870584	0.614160768111788	YNL281W	S000005225	ORF	108467	108928	1	462	XIV	High-Copy Hsp90 suppressor	462	Proteostasis-coding genes
HFD1	2.62320772761023	0.0685428344582697	0.0969342060943789	YMR110C	S000004716	ORF	490394	491992	-1	1599	XIII	Homolog of Fatty aldehyde Dehydrogenase	1599	Lipid metabolism-coding genes
HMG1	4.36986218824442	0.157811434742792	0.223179071310813	YML075C	S000004540	ORF	115734	118898	-1	3165	XIII	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3165	Lipid metabolism-coding genes
HMG2	2.19109252566806	0.168078286627688	0.237698592489308	YLR450W	S000004442	ORF	1032627	1035764	1	3138	XII	3-Hydroxy-3-MethylGlutaryl-coenzyme a reductase	3138	Lipid metabolism-coding genes
HSP104	2.37914322602835	0.0460799780026941	0.0651669298452639	YLL026W	S000003949	ORF	88623	91349	1	2727	XII	Heat Shock Protein	2727	Proteostasis-coding genes
HSP26	4.43657761707139	0.0230553288613029	0.0326051587606264	YBR072W	S000000276	ORF	382030	382674	1	645	II	Heat Shock Protein	645	Proteostasis-coding genes
HSP42	2.6890465645191	0.0174460331882225	0.0246724167443953	YDR171W	S000002578	ORF	806621	807748	1	1128	IV	Heat Shock Protein	1128	Proteostasis-coding genes
HSP60	2.49346979051299	0.0922447542074334	0.130453782457925	YLR259C	S000004249	ORF	663284	665002	-1	1719	XII	Heat Shock Protein	1719	Lipid metabolism-coding genes
HSP78	2.1597861151034	0.0537715443050908	0.0760444472260052	YDR258C	S000002666	ORF	971808	974243	-1	2436	IV	Heat Shock Protein	2436	Lipid metabolism-coding genes
HSP82	2.31744065253499	0.0577246987506774	0.0816350518571093	YPL240C	S000006161	ORF	96496	98625	-1	2130	XVI	Heat Shock Protein	2130	Proteostasis-coding genes
