SGD_name	Genes	Yeast_species	Feature	Feature_definition	Length	Condition
S000000006	YAL008W	S. cerevisiae	FUN14	Function Unknown Now	597	Autophagy-coding genes
S000000112	YBL016W	S. cerevisiae	FUS3	cell FUSion	1062	Autophagy-coding genes
S000000146	YBL050W	S. cerevisiae	SEC17	SECretory	995	Autophagy-coding genes
S000000174	YBL078C	S. cerevisiae	ATG8	AuTophaGy related	354	Autophagy-coding genes
S000000199	YBL103C	S. cerevisiae	RTG3	ReTroGrade regulation	1461	Autophagy-coding genes
S000000201	YBL105C	S. cerevisiae	PKC1	Protein Kinase C	3456	Autophagy-coding genes
S000000281	YBR077C	S. cerevisiae	SLM4	Synthetic Lethal with Mss4	489	Autophagy-coding genes
S000000301	YBR097W	S. cerevisiae	VPS15	Vacuolar Protein Sorting	4365	Autophagy-coding genes
S000000332	YBR128C	S. cerevisiae	ATG14	AuTophaGy related	1035	Autophagy-coding genes
S000000335	YBR131W	S. cerevisiae	CCZ1	Calcium Caffeine Zinc sensitivity	2115	Autophagy-coding genes
S000000343	YBR139W	S. cerevisiae	ATG42	AuTophaGy	1527	Autophagy-coding genes
S000000368	YBR164C	S. cerevisiae	ARL1	ADP-Ribosylation factor-Like	552	Autophagy-coding genes
S000000421	YBR217W	S. cerevisiae	ATG12	AuTophaGy related	561	Autophagy-coding genes
S000000458	YBR254C	S. cerevisiae	TRS20	TRapp Subunit	528	Autophagy-coding genes
S000000543	YCL038C	S. cerevisiae	ATG22	AuTophaGy related	1587	Autophagy-coding genes
S000000664	YCR068W	S. cerevisiae	ATG15	AuTophaGy related	1563	Autophagy-coding genes
S000000735	YEL009C	S. cerevisiae	GCN4	General Control Nonderepressible	846	Autophagy-coding genes
S000000739	YEL013W	S. cerevisiae	VAC8	VACuole related	1737	Autophagy-coding genes
S000000774	YEL048C	S. cerevisiae	TCA17	TRAPP Complex Associated protein	459	Autophagy-coding genes
S000000788	YEL062W	S. cerevisiae	NPR2	Nitrogen Permease Regulator	1848	Autophagy-coding genes
S000000833	YER031C	S. cerevisiae	YPT31	Yeast Protein Two	672	Autophagy-coding genes
S000000959	YER157W	S. cerevisiae	COG3	Conserved Oligomeric Golgi complex	2406	Autophagy-coding genes
S000000971	YER169W	S. cerevisiae	RPH1	Regulator of PHR1	2391	Autophagy-coding genes
