SGD_name	Genes	Yeast_species	Feature	Feature_definition	Length	Condition
S000000044	YAL046C	S. cerevisiae	BOL3	BolA-like protein	357	Lipid metabolism-coding genes
S000000048	YAL051W	S. cerevisiae	OAF1	Oleate-Activated transcription Factor	3144	Lipid metabolism-coding genes
S000000080	YAR035W	S. cerevisiae	YAT1		2064	Lipid metabolism-coding genes
S000000107	YBL011W	S. cerevisiae	SCT1	Suppressor of Choline-Transport mutants	2280	Lipid metabolism-coding genes
S000000111	YBL015W	S. cerevisiae	ACH1	Acetyl CoA Hydrolase	1581	Lipid metabolism-coding genes
S000000118	YBL022C	S. cerevisiae	PIM1	Proteolysis In Mitochondria	3402	Lipid metabolism-coding genes
S000000230	YBR026C	S. cerevisiae	ETR1	2-Enoyl Thioester Reductase	1143	Lipid metabolism-coding genes
S000000233	YBR029C	S. cerevisiae	CDS1	CDP-Diacylglycerol Synthase	1374	Lipid metabolism-coding genes
S000000245	YBR041W	S. cerevisiae	FAT1	FATty acid transporter	2010	Lipid metabolism-coding genes
S000000246	YBR042C	S. cerevisiae	CST26	Chromosome STability	1194	Lipid metabolism-coding genes
S000000284	YBR080C	S. cerevisiae	SEC18	SECretory	2277	Lipid metabolism-coding genes
S000000316	YBR112C	S. cerevisiae	CYC8	CYtochrome C	2901	Lipid metabolism-coding genes
S000000325	YBR121C	S. cerevisiae	GRS1	Glycyl-tRNA Synthase	2004	Lipid metabolism-coding genes
S000000363	YBR159W	S. cerevisiae	IFA38		1044	Lipid metabolism-coding genes
S000000381	YBR177C	S. cerevisiae	EHT1	Ethanol Hexanoyl Transferase	1356	Lipid metabolism-coding genes
S000000387	YBR183W	S. cerevisiae	YPC1	Yeast Phyto-Ceramidase	951	Lipid metabolism-coding genes
S000000423	YBR219C	S. cerevisiae	NA		805	Lipid metabolism-coding genes
S000000424	YBR220C	S. cerevisiae	NA		1683	Lipid metabolism-coding genes
S000000425	YBR221C	S. cerevisiae	PDB1	Pyruvate Dehydrogenase Beta subunit	1101	Lipid metabolism-coding genes
S000000431	YBR227C	S. cerevisiae	MCX1	Mitochondrial ClpX	1563	Lipid metabolism-coding genes
S000000473	YBR269C	S. cerevisiae	SDH8	Succinate DeHydrogenase	417	Lipid metabolism-coding genes
S000000510	YCL004W	S. cerevisiae	PGS1	PhosphatidylGlycerolphosphate Synthase	1566	Lipid metabolism-coding genes
S000000529	YCL024W	S. cerevisiae	KCC4		3114	Lipid metabolism-coding genes
S000000589	YCL026C-A	S. cerevisiae	FRM2	Fatty acid Repression Mutant	582	Lipid metabolism-coding genes
S000000610	YCR017C	S. cerevisiae	CWH43	Calcofluor White Hypersensitive	2862	Lipid metabolism-coding genes
S000000618	YCR024C	S. cerevisiae	SLM5	Synthetic Lethal with Mss4	1479	Lipid metabolism-coding genes
S000000630	YCR034W	S. cerevisiae	ELO2	fatty acid ELOngation	1044	Lipid metabolism-coding genes
S000000680	YCR084C	S. cerevisiae	TUP1	dTMP-UPtake	2142	Lipid metabolism-coding genes
S000000817	YER015W	S. cerevisiae	FAA2	Fatty Acid Activation	2235	Lipid metabolism-coding genes
S000000826	YER024W	S. cerevisiae	YAT2		2772	Lipid metabolism-coding genes
S000000828	YER026C	S. cerevisiae	CHO1	CHOline requiring	831	Lipid metabolism-coding genes
S000000845	YER043C	S. cerevisiae	SAH1	S-Adenosyl-l-Homocysteine hydrolase	1350	Lipid metabolism-coding genes
S000000860	YER058W	S. cerevisiae	PET117	PETite colonies	324	Lipid metabolism-coding genes
S000000863	YER061C	S. cerevisiae	CEM1	Condensing Enzyme with Mitochondrial function	1329	Lipid metabolism-coding genes
S000000871	YER069W	S. cerevisiae	ARG5,6	ARGinine requiring	2592	Lipid metabolism-coding genes
S000000875	YER073W	S. cerevisiae	ALD5	ALdehyde Dehydrogenase	1563	Lipid metabolism-coding genes
S000000927	YER125W	S. cerevisiae	RSP5	Reverses Spt- Phenotype	2430	Lipid metabolism-coding genes
S000000970	YER168C	S. cerevisiae	CCA1	tRNA CCA-pyrophosphorylase	1641	Lipid metabolism-coding genes
S000000972	YER170W	S. cerevisiae	ADK2	ADenylate Kinase	678	Lipid metabolism-coding genes
S000000980	YER178W	S. cerevisiae	PDA1	Pyruvate Dehydrogenase Alpha	1263	Lipid metabolism-coding genes
S000000986	YER184C	S. cerevisiae	TOG1	Transcriptional regulator of Oleate utilization Genes	2385	Lipid metabolism-coding genes
S000001012	YHL020C	S. cerevisiae	OPI1	OverProducer of Inositol	1215	Lipid metabolism-coding genes
S000001024	YHL032C	S. cerevisiae	GUT1	Glycerol UTilization	2130	Lipid metabolism-coding genes
S000001050	YHR008C	S. cerevisiae	SOD2	SuperOxide Dismutase	702	Lipid metabolism-coding genes
S000001053	YHR011W	S. cerevisiae	DIA4	Digs Into Agar	1341	Lipid metabolism-coding genes
S000001066	YHR024C	S. cerevisiae	MAS2	Mitochondrial ASsembly	1449	Lipid metabolism-coding genes
S000001079	YHR037W	S. cerevisiae	PUT2	Proline UTilization	1728	Lipid metabolism-coding genes
S000001109	YHR067W	S. cerevisiae	HTD2	Hydroxyacyl-Thioester Dehydratase	843	Lipid metabolism-coding genes
S000001112	YHR070W	S. cerevisiae	TRM5	tRNA Methyltransferase	1500	Lipid metabolism-coding genes
S000001133	YHR091C	S. cerevisiae	MSR1	Mitochondrial tRNA Synthetase aRginine	1932	Lipid metabolism-coding genes
S000001142	YHR100C	S. cerevisiae	GEP4	GEnetic interactors of Prohibitins	558	Lipid metabolism-coding genes
S000001165	YHR123W	S. cerevisiae	EPT1	EthanolaminePhosphoTransferase	1267	Lipid metabolism-coding genes
S000001236	YHR193C	S. cerevisiae	EGD2	Enhancer of Gal4 DNA binding	525	Lipid metabolism-coding genes
S000001244	YHR201C	S. cerevisiae	PPX1		1194	Lipid metabolism-coding genes
S000001251	YHR208W	S. cerevisiae	BAT1	Branched-chain Amino acid Transaminase	1182	Lipid metabolism-coding genes
S000001271	YIL009W	S. cerevisiae	FAA3	Fatty Acid Activation	2085	Lipid metabolism-coding genes
S000001304	YIL042C	S. cerevisiae	PKP1	Protein Kinase of PDH	1185	Lipid metabolism-coding genes
S000001313	YIL051C	S. cerevisiae	MMF1	Mitochondrial Matrix Factor	438	Lipid metabolism-coding genes
S000001332	YIL070C	S. cerevisiae	MAM33	Mitochondrial Acidic Matrix protein	801	Lipid metabolism-coding genes
S000001360	YIL098C	S. cerevisiae	FMC1	Formation of Mitochondrial Complexes	468	Lipid metabolism-coding genes
S000001386	YIL124W	S. cerevisiae	AYR1	1-AcyldihYdroxyacetone-phosphate Reductase	894	Lipid metabolism-coding genes
S000001387	YIL125W	S. cerevisiae	KGD1	alpha-KetoGlutarate Dehydrogenase	3045	Lipid metabolism-coding genes
S000001422	YIL160C	S. cerevisiae	POT1	Peroxisomal Oxoacyl Thiolase	1254	Lipid metabolism-coding genes
S000001460	YIR021W	S. cerevisiae	MRS1	Mitochondrial RNA Splicing	1092	Lipid metabolism-coding genes
S000001472	YIR033W	S. cerevisiae	MGA2	Multicopy suppressor of GAm1 (snf2)	3342	Lipid metabolism-coding genes
S000001503	YKL020C	S. cerevisiae	SPT23	SuPpressor of Ty	3249	Lipid metabolism-coding genes
S000001512	YKL029C	S. cerevisiae	MAE1	MAlic Enzyme	2010	Lipid metabolism-coding genes
S000001523	YKL040C	S. cerevisiae	NFU1	NifU-like protein	771	Lipid metabolism-coding genes
S000001538	YKL055C	S. cerevisiae	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase	837	Lipid metabolism-coding genes
S000001568	YKL085W	S. cerevisiae	MDH1	Malate DeHydrogenase	1005	Lipid metabolism-coding genes
S000001577	YKL094W	S. cerevisiae	YJU3		942	Lipid metabolism-coding genes
S000001589	YKL106W	S. cerevisiae	AAT1	Aspartate AminoTransferase	1356	Lipid metabolism-coding genes
S000001615	YKL132C	S. cerevisiae	RMA1	Reduced Mating A	1293	Lipid metabolism-coding genes
S000001617	YKL134C	S. cerevisiae	OCT1	OCTapeptidyl aminopeptidase	2319	Lipid metabolism-coding genes
S000001665	YKL182W	S. cerevisiae	FAS1	Fatty Acid Synthetase	6156	Lipid metabolism-coding genes
S000001670	YKL187C	S. cerevisiae	FAT3	FATty acid transporter 3	2253	Lipid metabolism-coding genes
S000001671	YKL188C	S. cerevisiae	PXA2	PeroXisomal ABC-transporter	2562	Lipid metabolism-coding genes
